               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076809,            0.025031,            0.038473,             0.84342,              0.3419,             0.34314,             0.14129,            0.043879,           0.0082706,            0.016885,             0.07012,           0.0033201,           0.0033201
                   1,            0.054178,            0.015415,            0.014963,             0.61626,             0.54827,              0.5242,             0.22476,             0.04078,           0.0068872,            0.012324,            0.040054,           0.0065875,           0.0065875
                   2,            0.050361,            0.013722,           0.0097393,             0.74774,             0.69543,             0.66976,             0.32192,            0.036524,           0.0060205,            0.010587,           0.0099218,            0.009789,            0.009789
                   3,            0.044512,            0.012483,           0.0067022,             0.85669,             0.69584,             0.77633,             0.47508,            0.027484,           0.0054446,           0.0081195,            0.009703,            0.009703,            0.009703
                   4,            0.038359,            0.011634,           0.0051696,              0.7621,             0.84266,             0.80738,             0.47441,            0.025866,           0.0051388,            0.007792,            0.009703,            0.009703,            0.009703
                   5,            0.036416,            0.011052,           0.0044334,             0.82659,             0.78549,             0.80791,             0.49498,            0.026079,           0.0053939,           0.0070303,            0.009604,            0.009604,            0.009604
                   6,             0.03404,            0.010799,           0.0035522,             0.90796,             0.90795,             0.95311,             0.62401,            0.023242,           0.0050889,           0.0073859,            0.009505,            0.009505,            0.009505
                   7,            0.032531,            0.010577,            0.003027,             0.84384,             0.94502,             0.89755,             0.62183,            0.021519,           0.0047579,           0.0065758,            0.009406,            0.009406,            0.009406
                   8,            0.030999,            0.010474,           0.0025985,             0.90092,             0.90526,             0.95736,             0.64761,            0.022729,           0.0047287,            0.006709,            0.009307,            0.009307,            0.009307
                   9,            0.030207,            0.010224,           0.0023259,             0.89422,              0.9537,             0.94941,             0.65657,            0.020603,           0.0044426,           0.0062693,            0.009208,            0.009208,            0.009208
                  10,             0.02894,            0.010104,            0.002132,             0.92546,             0.93437,             0.97121,             0.70596,            0.021019,            0.004288,           0.0068994,            0.009109,            0.009109,            0.009109
                  11,            0.028209,           0.0097826,           0.0019486,             0.96867,             0.97045,             0.99312,              0.7373,            0.018781,           0.0041853,            0.006208,             0.00901,             0.00901,             0.00901
                  12,            0.027293,           0.0097867,           0.0018555,             0.96713,             0.94731,             0.98551,             0.73689,            0.018707,           0.0043477,           0.0061668,            0.008911,            0.008911,            0.008911
                  13,            0.027392,           0.0097417,           0.0019507,             0.89263,             0.94276,             0.93999,             0.62617,             0.01999,           0.0053515,           0.0065059,            0.008812,            0.008812,            0.008812
                  14,            0.026473,           0.0095779,           0.0017174,             0.98455,             0.96778,             0.98474,             0.75919,            0.018734,           0.0041901,           0.0063833,            0.008713,            0.008713,            0.008713
                  15,            0.026339,           0.0094955,           0.0018657,             0.97786,             0.97313,             0.98401,             0.72934,            0.018239,            0.004288,           0.0066061,            0.008614,            0.008614,            0.008614
                  16,            0.025792,           0.0095008,           0.0015859,             0.96756,             0.96781,             0.98879,             0.74586,             0.01695,           0.0039979,           0.0065049,            0.008515,            0.008515,            0.008515
                  17,            0.025293,           0.0091346,            0.001453,             0.96544,             0.98852,             0.99315,             0.76021,            0.017086,           0.0040497,            0.006519,            0.008416,            0.008416,            0.008416
                  18,            0.024904,           0.0093177,           0.0013856,             0.98146,             0.98852,             0.99247,             0.73852,            0.017213,           0.0039602,           0.0064435,            0.008317,            0.008317,            0.008317
                  19,            0.024442,           0.0088631,           0.0013264,             0.95296,             0.98556,             0.99253,             0.75333,            0.017559,            0.004039,            0.006501,            0.008218,            0.008218,            0.008218
                  20,            0.024798,           0.0092408,           0.0013862,             0.95327,              0.9962,             0.99279,             0.77783,            0.016664,           0.0038363,           0.0068148,            0.008119,            0.008119,            0.008119
                  21,            0.023938,           0.0088948,           0.0013884,             0.96171,             0.97489,             0.98116,             0.78241,            0.016952,           0.0040604,           0.0068952,             0.00802,             0.00802,             0.00802
                  22,             0.02406,           0.0090602,           0.0011945,             0.97777,             0.95568,              0.9858,             0.78133,             0.01602,           0.0038805,           0.0065637,            0.007921,            0.007921,            0.007921
                  23,            0.023542,           0.0088893,           0.0011111,             0.96705,              0.9962,             0.99333,             0.77801,            0.016523,           0.0038595,           0.0065717,            0.007822,            0.007822,            0.007822
                  24,            0.023363,            0.008774,           0.0011865,             0.96576,             0.99467,             0.99305,             0.78859,            0.015891,           0.0037238,           0.0067755,            0.007723,            0.007723,            0.007723
                  25,            0.023154,           0.0086858,          0.00098343,             0.97355,             0.99526,             0.99305,             0.82294,            0.015407,           0.0036336,           0.0067969,            0.007624,            0.007624,            0.007624
                  26,            0.023023,           0.0085784,           0.0010579,             0.95988,             0.99301,             0.98768,             0.80563,            0.015617,           0.0037596,           0.0066631,            0.007525,            0.007525,            0.007525
                  27,            0.022752,           0.0088138,           0.0010274,             0.98406,             0.98808,             0.99363,             0.80622,            0.016035,           0.0038076,           0.0066823,            0.007426,            0.007426,            0.007426
                  28,            0.022496,            0.008723,           0.0009467,             0.99008,              0.9909,             0.99322,             0.80989,            0.015824,             0.00367,            0.007031,            0.007327,            0.007327,            0.007327
                  29,            0.022203,           0.0086231,           0.0010539,             0.98335,             0.99159,              0.9934,             0.81791,            0.015607,           0.0035743,            0.006775,            0.007228,            0.007228,            0.007228
                  30,            0.022554,           0.0085387,          0.00094998,              0.9644,             0.99109,             0.99222,              0.8195,            0.015517,           0.0036368,           0.0068561,            0.007129,            0.007129,            0.007129
                  31,            0.021895,             0.00844,          0.00085651,              0.9525,              0.9948,             0.99006,              0.8137,            0.015381,           0.0035903,           0.0067171,             0.00703,             0.00703,             0.00703
                  32,             0.02204,           0.0083392,           0.0010051,             0.98772,              0.9962,             0.99351,             0.82476,            0.014985,           0.0036039,           0.0069686,            0.006931,            0.006931,            0.006931
                  33,             0.02195,           0.0084999,          0.00092205,             0.97411,             0.97656,             0.98978,             0.80302,            0.015286,           0.0035551,           0.0070102,            0.006832,            0.006832,            0.006832
                  34,            0.021573,           0.0084634,          0.00089324,             0.97741,             0.99164,             0.99329,             0.83211,            0.015308,           0.0035385,           0.0066635,            0.006733,            0.006733,            0.006733
                  35,            0.021613,           0.0082871,          0.00088036,              0.9883,             0.99063,             0.99324,             0.82353,            0.014926,           0.0035073,           0.0067563,            0.006634,            0.006634,            0.006634
                  36,            0.021365,           0.0080791,          0.00091544,             0.98126,             0.99493,             0.99277,             0.82446,            0.015178,           0.0035809,           0.0072198,            0.006535,            0.006535,            0.006535
                  37,             0.02156,           0.0081999,           0.0010404,             0.98413,              0.9962,             0.99264,             0.82673,            0.015474,           0.0035023,           0.0071253,            0.006436,            0.006436,            0.006436
                  38,            0.021388,           0.0082549,          0.00099087,             0.96101,             0.96111,             0.99328,             0.83341,            0.015429,           0.0034494,           0.0068442,            0.006337,            0.006337,            0.006337
