               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076315,            0.024537,            0.036212,             0.80958,             0.32323,             0.31942,             0.14399,            0.040898,           0.0086793,             0.01643,            0.070118,           0.0033203,           0.0033203
                   1,            0.053883,            0.015148,            0.013239,             0.67082,             0.58419,             0.57693,             0.31825,            0.036047,           0.0062984,            0.012716,            0.039986,           0.0065219,           0.0065219
                   2,            0.049266,            0.013089,           0.0088017,             0.70606,              0.6991,             0.68811,             0.36713,             0.03244,           0.0057709,           0.0083527,           0.0097222,           0.0095914,           0.0095914
                   3,            0.043341,             0.01214,           0.0060092,             0.93501,             0.67707,             0.74799,             0.46853,            0.025358,           0.0053196,           0.0062167,            0.009406,            0.009406,            0.009406
                   4,            0.038475,            0.011367,           0.0046786,             0.75787,             0.81996,             0.83557,             0.56879,            0.025033,           0.0048582,           0.0054829,            0.009406,            0.009406,            0.009406
                   5,            0.035911,            0.010932,           0.0041885,             0.95344,             0.83606,             0.88983,             0.61082,            0.023098,           0.0048628,           0.0050325,            0.009208,            0.009208,            0.009208
                   6,            0.033849,            0.010604,           0.0035223,             0.82802,             0.80424,             0.88399,             0.58839,            0.021514,            0.004907,             0.00425,             0.00901,             0.00901,             0.00901
                   7,            0.032077,            0.010652,            0.003054,             0.93856,             0.89656,             0.94016,              0.6647,            0.020194,            0.004546,           0.0037412,            0.008812,            0.008812,            0.008812
                   8,            0.030595,            0.010347,           0.0025713,             0.92352,             0.82727,             0.86081,             0.60082,            0.019975,           0.0049005,           0.0039757,            0.008614,            0.008614,            0.008614
                   9,            0.029265,            0.010064,           0.0021647,             0.95948,              0.9465,             0.97398,              0.7297,            0.017766,           0.0040435,           0.0034883,            0.008416,            0.008416,            0.008416
                  10,            0.028015,           0.0099179,           0.0018592,             0.92588,             0.91864,             0.95446,             0.71272,            0.018264,           0.0040781,           0.0031836,            0.008218,            0.008218,            0.008218
                  11,            0.027904,           0.0095043,           0.0015573,             0.95982,             0.97888,             0.98903,             0.75975,            0.017359,           0.0039244,           0.0032644,             0.00802,             0.00802,             0.00802
                  12,            0.027003,           0.0094248,           0.0018525,             0.94932,             0.85074,             0.87646,              0.6751,            0.017959,           0.0042365,            0.003504,            0.007822,            0.007822,            0.007822
                  13,            0.026514,           0.0093951,           0.0015387,               0.944,             0.98852,             0.98625,             0.76893,            0.017904,           0.0037066,           0.0030093,            0.007624,            0.007624,            0.007624
                  14,            0.026286,            0.009222,           0.0014556,             0.95403,             0.96719,             0.96995,             0.76686,            0.016595,           0.0037294,           0.0030152,            0.007426,            0.007426,            0.007426
                  15,             0.02535,           0.0091865,           0.0015286,             0.92858,              0.9605,             0.98317,             0.75942,            0.016415,           0.0036088,           0.0031165,            0.007228,            0.007228,            0.007228
                  16,            0.025145,            0.009186,           0.0014304,              0.9883,             0.96484,             0.98742,             0.78037,            0.015682,           0.0036241,           0.0029304,             0.00703,             0.00703,             0.00703
                  17,            0.024599,           0.0089045,           0.0012746,             0.95969,             0.95313,             0.98497,              0.7885,            0.015741,           0.0034776,           0.0029596,            0.006832,            0.006832,            0.006832
                  18,            0.023923,           0.0088694,           0.0011006,             0.94144,             0.97221,              0.9883,             0.82016,            0.015515,           0.0035102,           0.0028613,            0.006634,            0.006634,            0.006634
                  19,            0.023663,           0.0085559,          0.00096117,             0.97733,             0.98938,             0.98717,             0.80013,            0.015329,           0.0034008,           0.0029853,            0.006436,            0.006436,            0.006436
                  20,            0.023498,           0.0087095,           0.0011196,             0.93985,             0.96755,             0.97263,             0.79051,             0.01586,           0.0036078,           0.0030004,            0.006238,            0.006238,            0.006238
                  21,            0.023277,           0.0085697,           0.0011461,             0.98365,              0.9693,             0.98183,             0.80363,            0.014375,           0.0034405,           0.0030429,             0.00604,             0.00604,             0.00604
                  22,            0.023038,           0.0084632,           0.0011598,             0.98279,             0.95797,             0.98528,             0.80733,            0.014829,           0.0034707,           0.0028591,            0.005842,            0.005842,            0.005842
                  23,            0.022609,           0.0084814,            0.001007,             0.97738,             0.95103,              0.9885,             0.80231,            0.014881,           0.0033667,           0.0029707,            0.005644,            0.005644,            0.005644
                  24,            0.022383,           0.0083191,           0.0010624,             0.96766,             0.98794,              0.9863,             0.80136,            0.014375,           0.0033616,           0.0030061,            0.005446,            0.005446,            0.005446
                  25,            0.022047,           0.0083366,           0.0010505,             0.98656,             0.96345,              0.9878,             0.83223,            0.014405,           0.0033231,           0.0027741,            0.005248,            0.005248,            0.005248
                  26,            0.021904,           0.0084359,          0.00090449,             0.95399,             0.98318,             0.98444,             0.82295,            0.014487,           0.0033592,           0.0029489,             0.00505,             0.00505,             0.00505
                  27,            0.021657,             0.00847,          0.00079512,             0.98406,              0.9896,               0.988,             0.83612,            0.014346,           0.0032382,           0.0029135,            0.004852,            0.004852,            0.004852
                  28,            0.021394,           0.0081253,          0.00099172,             0.98728,             0.98865,             0.98709,             0.82592,            0.014432,           0.0033871,           0.0027978,            0.004654,            0.004654,            0.004654
                  29,            0.021263,           0.0082273,          0.00085679,             0.97324,             0.98776,             0.98748,             0.82752,             0.01413,           0.0033074,           0.0028528,            0.004456,            0.004456,            0.004456
                  30,             0.02093,           0.0080991,          0.00070807,             0.97081,             0.96898,             0.98514,             0.84477,            0.013883,           0.0031987,           0.0028148,            0.004258,            0.004258,            0.004258
                  31,            0.020509,           0.0079115,          0.00077768,             0.98382,             0.94748,             0.96335,             0.82478,            0.013847,           0.0032435,           0.0033781,             0.00406,             0.00406,             0.00406
                  32,            0.020382,           0.0079184,          0.00078307,             0.95742,             0.98681,             0.98826,             0.84219,            0.013716,           0.0031949,            0.002863,            0.003862,            0.003862,            0.003862
                  33,            0.020326,           0.0079576,          0.00072777,             0.99063,             0.98876,             0.98658,             0.84439,            0.013555,           0.0031707,           0.0029411,            0.003664,            0.003664,            0.003664
                  34,            0.019949,           0.0078653,          0.00063451,             0.99129,             0.98757,             0.98758,              0.8411,            0.013627,           0.0031924,           0.0029186,            0.003466,            0.003466,            0.003466
                  35,            0.019798,           0.0076867,          0.00060183,             0.98629,             0.96733,             0.98413,             0.86123,            0.013391,           0.0031725,           0.0029123,            0.003268,            0.003268,            0.003268
                  36,            0.019398,            0.007684,          0.00069257,             0.98699,             0.96541,             0.98583,             0.83722,            0.013572,           0.0031177,           0.0028826,             0.00307,             0.00307,             0.00307
                  37,            0.019437,           0.0074076,          0.00055786,             0.98485,             0.98724,             0.98881,             0.85841,            0.013236,           0.0031361,           0.0029575,            0.002872,            0.002872,            0.002872
                  38,            0.019412,           0.0076029,          0.00057013,             0.98965,              0.9873,             0.98971,             0.86281,            0.013091,           0.0030962,           0.0029371,            0.002674,            0.002674,            0.002674
                  39,            0.019061,           0.0075393,          0.00048992,             0.98796,             0.98971,              0.9898,             0.85763,            0.013212,           0.0030646,           0.0029849,            0.002476,            0.002476,            0.002476
                  40,            0.018859,           0.0075925,           0.0004622,             0.99026,             0.98971,             0.98928,             0.86683,            0.013134,           0.0030593,           0.0028698,            0.002278,            0.002278,            0.002278
                  41,            0.018742,           0.0074165,          0.00046451,              0.9906,             0.98971,             0.98916,             0.86008,            0.013312,           0.0031083,           0.0029686,             0.00208,             0.00208,             0.00208
                  42,             0.01835,           0.0074488,          0.00043378,             0.98682,             0.98971,             0.98901,             0.86451,            0.013032,            0.003053,           0.0030213,            0.001882,            0.001882,            0.001882
