               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072605,            0.022452,            0.030128,             0.79919,             0.31341,             0.29744,             0.13731,            0.041088,           0.0080139,            0.012887,            0.070118,           0.0033203,           0.0033203
                   1,             0.05039,            0.014727,           0.0096222,             0.65357,             0.64054,             0.65092,             0.35665,             0.02921,            0.005952,            0.009633,            0.039898,            0.006434,            0.006434
                   2,            0.044929,            0.012177,           0.0066951,              0.7457,             0.72733,             0.76595,             0.45363,            0.028947,           0.0048742,           0.0070939,           0.0094585,           0.0093278,           0.0093278
                   3,            0.038897,            0.011274,           0.0049448,             0.89446,             0.80527,             0.83836,             0.51873,            0.023379,           0.0046769,           0.0053106,             0.00901,             0.00901,             0.00901
                   4,            0.035003,            0.010494,           0.0036067,             0.82626,             0.90159,             0.94903,             0.60237,            0.022889,           0.0043365,           0.0038362,             0.00901,             0.00901,             0.00901
                   5,            0.032573,           0.0099948,           0.0029658,              0.9467,              0.9482,             0.97472,             0.62284,             0.02057,           0.0041385,           0.0037852,             0.00868,             0.00868,             0.00868
                   6,             0.03032,           0.0097048,           0.0025504,             0.83012,             0.95081,             0.96424,              0.6868,            0.019478,           0.0038811,           0.0034259,             0.00835,             0.00835,             0.00835
                   7,             0.02902,           0.0096291,           0.0022365,             0.88668,             0.97126,             0.96719,             0.71519,            0.018143,           0.0037297,           0.0034229,             0.00802,             0.00802,             0.00802
                   8,            0.027545,           0.0093668,           0.0019889,             0.92834,             0.96253,             0.98066,             0.75752,            0.016907,           0.0037526,           0.0032972,             0.00769,             0.00769,             0.00769
                   9,            0.026454,           0.0089528,           0.0016808,             0.96644,             0.98254,             0.98732,             0.75722,            0.016728,           0.0035538,           0.0031901,             0.00736,             0.00736,             0.00736
                  10,            0.025142,           0.0090232,           0.0016751,             0.97424,             0.97017,             0.98677,             0.78289,            0.015562,           0.0034571,           0.0031032,             0.00703,             0.00703,             0.00703
                  11,            0.024501,           0.0085818,           0.0013094,             0.97093,             0.98565,             0.98774,             0.78369,            0.016535,           0.0035491,           0.0031107,              0.0067,              0.0067,              0.0067
                  12,            0.023891,           0.0083308,           0.0013754,             0.98204,              0.9855,             0.98731,             0.80885,            0.015364,           0.0034359,           0.0030738,             0.00637,             0.00637,             0.00637
                  13,            0.023321,           0.0083372,           0.0012489,             0.92624,             0.98692,             0.98825,             0.78985,            0.015846,           0.0033047,           0.0031534,             0.00604,             0.00604,             0.00604
                  14,            0.022971,           0.0082439,           0.0010553,              0.9741,              0.9687,             0.98234,             0.80509,            0.015055,           0.0032812,           0.0030844,             0.00571,             0.00571,             0.00571
                  15,              0.0222,           0.0081466,           0.0011691,             0.97633,             0.98274,               0.988,             0.81146,            0.014445,           0.0031813,           0.0030768,             0.00538,             0.00538,             0.00538
                  16,            0.021935,           0.0081472,           0.0010879,             0.98279,             0.98951,             0.98751,             0.84278,            0.014527,           0.0032149,           0.0030601,             0.00505,             0.00505,             0.00505
                  17,            0.021135,           0.0077988,          0.00085623,             0.98166,             0.96982,             0.98916,             0.82881,            0.014395,           0.0032013,           0.0030232,             0.00472,             0.00472,             0.00472
                  18,            0.020481,           0.0078543,          0.00089856,             0.98601,             0.98971,             0.98912,             0.84876,            0.014523,           0.0032059,            0.002986,             0.00439,             0.00439,             0.00439
                  19,            0.020208,           0.0075537,          0.00072139,             0.97635,             0.98971,             0.98861,             0.84755,            0.014372,           0.0031175,             0.00301,             0.00406,             0.00406,             0.00406
                  20,            0.019729,           0.0075894,          0.00071373,             0.98098,             0.98971,             0.98791,             0.84341,            0.013611,            0.003158,           0.0030514,             0.00373,             0.00373,             0.00373
                  21,            0.019608,           0.0074554,          0.00082733,             0.96637,              0.9837,             0.98884,              0.8491,            0.013506,            0.003094,           0.0031315,              0.0034,              0.0034,              0.0034
                  22,            0.019019,           0.0072785,          0.00066959,             0.98107,             0.98971,             0.98915,             0.83812,            0.013676,           0.0030553,           0.0029385,             0.00307,             0.00307,             0.00307
                  23,            0.018545,           0.0073081,          0.00065071,             0.97365,             0.98971,             0.98916,             0.85351,             0.01331,           0.0030362,           0.0029791,             0.00274,             0.00274,             0.00274
                  24,            0.018343,           0.0071529,          0.00062544,             0.97997,             0.98971,             0.98985,             0.84848,            0.013014,           0.0029913,           0.0029964,             0.00241,             0.00241,             0.00241
                  25,            0.017999,            0.007114,          0.00053662,             0.98488,             0.98971,             0.98887,             0.87102,            0.012771,           0.0029648,           0.0030603,             0.00208,             0.00208,             0.00208
                  26,            0.017666,           0.0071482,          0.00051918,             0.98233,             0.98971,             0.98904,             0.85123,            0.013085,            0.002985,           0.0029799,             0.00175,             0.00175,             0.00175
                  27,            0.017415,           0.0072561,          0.00048206,             0.99063,             0.98971,             0.98899,             0.87338,            0.012593,           0.0028843,           0.0030298,             0.00142,             0.00142,             0.00142
                  28,            0.016869,           0.0069019,          0.00038448,             0.97667,             0.98971,             0.98897,             0.87099,            0.012652,           0.0029235,           0.0031085,             0.00109,             0.00109,             0.00109
                  29,            0.016697,           0.0068848,          0.00037713,             0.98847,             0.98971,             0.98998,             0.87337,            0.012498,           0.0029111,           0.0031551,             0.00076,             0.00076,             0.00076
