               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072606,             0.02332,            0.021433,             0.72958,             0.76468,             0.80763,             0.38041,            0.037887,           0.0086062,           0.0036206,            0.070152,           0.0033165,           0.0033165
                   1,            0.051844,            0.014196,           0.0039728,             0.62454,             0.83082,             0.77189,             0.30201,            0.039034,           0.0060415,           0.0027935,            0.039932,           0.0064304,           0.0064304
                   2,             0.04569,            0.011924,           0.0032497,             0.84036,              0.9564,             0.95852,             0.54421,            0.027279,            0.005229,           0.0026192,           0.0094926,           0.0093243,           0.0093243
                   3,             0.03926,            0.010828,           0.0024965,             0.97102,             0.98789,             0.98923,             0.66747,            0.021226,           0.0050043,           0.0021031,             0.00901,             0.00901,             0.00901
                   4,            0.034209,            0.010292,            0.002112,             0.98746,              0.9872,             0.98944,             0.67636,            0.021517,           0.0048703,           0.0019491,             0.00901,             0.00901,             0.00901
                   5,             0.03225,           0.0097604,            0.001661,             0.99394,             0.98917,             0.99426,             0.70737,            0.019531,           0.0046235,           0.0016818,             0.00868,             0.00868,             0.00868
                   6,            0.030689,           0.0093951,           0.0013578,             0.99311,             0.99145,             0.99199,              0.7373,            0.018762,           0.0043535,           0.0015808,             0.00835,             0.00835,             0.00835
                   7,            0.028421,            0.009079,            0.001252,             0.98371,             0.98929,             0.99336,             0.70999,            0.017755,           0.0042379,            0.001568,             0.00802,             0.00802,             0.00802
                   8,            0.026572,           0.0087108,            0.001066,             0.99478,             0.98934,             0.99366,              0.7362,            0.016325,           0.0040037,           0.0014782,             0.00769,             0.00769,             0.00769
                   9,            0.026152,            0.008856,          0.00098865,             0.99494,             0.99119,             0.99337,             0.76545,            0.015431,           0.0039964,           0.0014039,             0.00736,             0.00736,             0.00736
                  10,            0.025278,           0.0085156,          0.00095065,             0.99375,             0.99356,             0.99376,             0.76137,             0.01597,           0.0039037,           0.0014266,             0.00703,             0.00703,             0.00703
                  11,             0.02421,           0.0084309,          0.00073922,              0.9947,             0.99356,             0.99199,             0.76463,            0.015234,           0.0038973,           0.0013626,              0.0067,              0.0067,              0.0067
                  12,            0.024023,           0.0083615,          0.00076038,             0.99356,             0.99176,             0.99384,              0.7827,            0.014751,           0.0039204,           0.0014363,             0.00637,             0.00637,             0.00637
                  13,            0.023032,             0.00834,          0.00077662,             0.99478,             0.99348,             0.99395,             0.78398,            0.014857,           0.0038656,           0.0014533,             0.00604,             0.00604,             0.00604
                  14,            0.022785,           0.0080337,          0.00061651,              0.9941,             0.99356,             0.99311,             0.77607,            0.014567,           0.0037822,           0.0013186,             0.00571,             0.00571,             0.00571
                  15,             0.02226,           0.0080461,          0.00051255,             0.99517,             0.99356,             0.99268,             0.77514,            0.014447,            0.003683,           0.0013345,             0.00538,             0.00538,             0.00538
                  16,            0.021848,           0.0079692,          0.00051315,             0.99504,             0.99356,             0.99222,              0.7801,            0.014391,           0.0036758,           0.0013313,             0.00505,             0.00505,             0.00505
                  17,            0.021369,           0.0077164,          0.00056008,              0.9947,             0.99356,             0.99178,             0.79947,             0.01419,           0.0036639,           0.0013138,             0.00472,             0.00472,             0.00472
                  18,            0.021066,            0.007734,          0.00038593,             0.99506,             0.99356,             0.99291,             0.78862,            0.014031,           0.0036527,           0.0013334,             0.00439,             0.00439,             0.00439
                  19,            0.020401,           0.0076729,          0.00051295,             0.99449,             0.99356,             0.99113,             0.78799,            0.013721,           0.0035517,            0.001337,             0.00406,             0.00406,             0.00406
                  20,            0.019911,           0.0077424,          0.00064146,             0.99508,             0.99356,             0.99157,             0.79733,            0.013704,           0.0036441,           0.0013734,             0.00373,             0.00373,             0.00373
                  21,            0.019583,            0.007488,          0.00032963,              0.9951,             0.99356,             0.99119,             0.80021,            0.013587,           0.0035272,           0.0013438,              0.0034,              0.0034,              0.0034
                  22,            0.019577,           0.0074911,            0.000302,             0.99502,             0.99356,              0.9922,             0.80127,            0.013421,           0.0035255,           0.0013154,             0.00307,             0.00307,             0.00307
                  23,            0.019207,           0.0073661,           0.0002917,             0.99515,             0.99356,              0.9914,             0.80259,            0.013316,           0.0035386,           0.0013393,             0.00274,             0.00274,             0.00274
                  24,             0.01883,           0.0073535,           0.0002687,             0.99516,             0.99356,             0.99122,             0.79949,            0.013083,           0.0034981,           0.0013637,             0.00241,             0.00241,             0.00241
                  25,            0.018347,           0.0072882,          0.00026762,             0.99528,             0.99356,             0.99115,             0.80923,            0.013267,           0.0034636,           0.0013464,             0.00208,             0.00208,             0.00208
                  26,            0.018176,           0.0072052,          0.00031651,             0.99531,             0.99356,             0.99163,              0.8093,            0.013265,           0.0035153,           0.0013568,             0.00175,             0.00175,             0.00175
                  27,            0.017902,           0.0071022,          0.00020926,             0.99502,             0.99356,             0.99151,             0.80235,            0.013225,           0.0034962,           0.0013249,             0.00142,             0.00142,             0.00142
                  28,            0.017591,           0.0070243,          0.00026212,             0.99514,             0.99356,             0.99128,             0.80095,            0.013343,           0.0035251,           0.0013711,             0.00109,             0.00109,             0.00109
                  29,            0.017237,           0.0069385,          0.00020917,             0.99506,             0.99356,             0.99111,             0.80397,            0.013282,           0.0034644,           0.0013962,             0.00076,             0.00076,             0.00076
