               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071122,            0.023211,            0.031691,             0.81052,             0.43076,             0.44538,             0.24298,            0.037274,           0.0072991,            0.010489,            0.070109,           0.0033213,           0.0033213
                   1,            0.048817,            0.014095,           0.0093603,             0.59066,             0.63406,             0.56831,              0.3137,            0.030241,           0.0055674,           0.0077973,            0.039779,           0.0063252,           0.0063252
                   2,            0.043149,            0.012103,           0.0071224,             0.73471,             0.75348,             0.75588,             0.48289,            0.026452,           0.0049583,           0.0059342,           0.0091199,           0.0089991,           0.0089991
                   3,            0.037119,            0.010954,            0.005402,             0.80508,             0.79367,             0.84022,             0.61275,            0.021586,           0.0052103,            0.005269,            0.008515,            0.008515,            0.008515
                   4,            0.033193,            0.010369,           0.0040514,             0.95527,             0.87094,             0.92641,             0.63335,            0.020746,           0.0043163,           0.0036818,            0.008515,            0.008515,            0.008515
                   5,            0.030763,           0.0098269,            0.003124,             0.96004,             0.88685,             0.94097,             0.71289,            0.017136,           0.0043139,           0.0032802,             0.00802,             0.00802,             0.00802
                   6,            0.028467,           0.0093978,           0.0026513,             0.88349,             0.95348,               0.942,             0.69284,            0.017748,            0.004034,           0.0026045,            0.007525,            0.007525,            0.007525
                   7,            0.026834,           0.0093351,           0.0023144,             0.92734,             0.98233,             0.97727,             0.74284,            0.016526,           0.0038838,            0.002581,             0.00703,             0.00703,             0.00703
                   8,            0.025665,            0.009082,           0.0020861,             0.91881,             0.99076,             0.96592,             0.73562,            0.016402,           0.0038498,           0.0023981,            0.006535,            0.006535,            0.006535
                   9,            0.024376,           0.0088906,           0.0019543,              0.9639,             0.97476,             0.98534,             0.79031,            0.015331,           0.0036162,           0.0023099,             0.00604,             0.00604,             0.00604
                  10,            0.023602,           0.0086379,           0.0016973,             0.97261,             0.99615,             0.99207,             0.81766,            0.014761,           0.0035801,           0.0021386,            0.005545,            0.005545,            0.005545
                  11,             0.02226,           0.0085052,           0.0014145,             0.96643,             0.99589,             0.98788,             0.82327,             0.01463,           0.0034818,            0.002143,             0.00505,             0.00505,             0.00505
                  12,            0.021878,            0.008207,           0.0011862,              0.9896,             0.97796,             0.99288,             0.82154,            0.013871,            0.003424,           0.0020797,            0.004555,            0.004555,            0.004555
                  13,            0.020442,           0.0078879,           0.0012238,             0.98025,             0.99615,             0.99337,             0.81328,            0.013343,           0.0033415,           0.0020894,             0.00406,             0.00406,             0.00406
                  14,            0.019869,           0.0076937,           0.0010278,             0.98952,             0.99397,             0.99317,             0.84509,            0.013047,            0.003236,           0.0020573,            0.003565,            0.003565,            0.003565
                  15,            0.019116,           0.0076303,          0.00092059,             0.98524,             0.99615,             0.99236,             0.86366,            0.012144,           0.0031927,           0.0020177,             0.00307,             0.00307,             0.00307
                  16,            0.018593,           0.0075603,          0.00076217,             0.97443,             0.99391,             0.99249,             0.88149,             0.01278,           0.0031822,           0.0019893,            0.002575,            0.002575,            0.002575
                  17,            0.017783,           0.0074018,          0.00077366,             0.99187,             0.99584,             0.99236,              0.8733,            0.011974,           0.0031057,           0.0019765,             0.00208,             0.00208,             0.00208
                  18,            0.017431,           0.0073645,           0.0007152,             0.99106,             0.99578,             0.99213,             0.88017,            0.012114,           0.0030892,           0.0019255,            0.001585,            0.001585,            0.001585
                  19,            0.016711,            0.007035,          0.00064137,             0.99087,             0.99076,             0.99255,             0.87553,            0.011632,           0.0030481,           0.0019052,             0.00109,             0.00109,             0.00109
