               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077678,            0.025239,            0.038175,             0.79563,              0.3447,             0.28749,             0.11657,            0.042142,           0.0082572,             0.01427,            0.070122,           0.0033198,           0.0033198
                   1,            0.054677,            0.015689,             0.01452,             0.77853,             0.46284,             0.55097,              0.2747,            0.035931,           0.0067418,           0.0095663,            0.040056,           0.0065873,           0.0065873
                   2,             0.05005,            0.013628,            0.010264,             0.72157,             0.62362,             0.71563,             0.35692,            0.033732,           0.0061072,            0.006926,           0.0099242,           0.0097887,           0.0097887
                   3,            0.044066,            0.012419,           0.0072663,             0.61383,             0.79248,             0.74539,             0.44279,             0.02874,           0.0057227,            0.005496,            0.009703,            0.009703,            0.009703
                   4,            0.039463,            0.011686,           0.0051991,             0.74197,             0.82104,             0.82697,             0.52701,            0.025128,           0.0050907,           0.0043191,            0.009703,            0.009703,            0.009703
                   5,            0.036658,            0.011018,           0.0044816,              0.8965,             0.74872,             0.80249,             0.53863,            0.022628,            0.005053,           0.0036838,            0.009604,            0.009604,            0.009604
                   6,            0.034098,            0.010978,           0.0037497,             0.88191,             0.84153,             0.89509,             0.61377,            0.022235,            0.004816,           0.0030298,            0.009505,            0.009505,            0.009505
                   7,            0.032581,            0.010605,           0.0033046,             0.90992,             0.95205,             0.95532,             0.65431,            0.020893,            0.004621,           0.0026336,            0.009406,            0.009406,            0.009406
                   8,            0.031384,            0.010505,           0.0027002,             0.90764,             0.93469,             0.96058,             0.61452,            0.025247,           0.0049592,           0.0021049,            0.009307,            0.009307,            0.009307
                   9,            0.030379,            0.010343,            0.002621,             0.87697,             0.93381,             0.93978,             0.66649,            0.020321,           0.0048715,           0.0021415,            0.009208,            0.009208,            0.009208
                  10,            0.029142,            0.010063,           0.0022213,             0.92801,             0.96684,             0.98877,             0.70623,            0.018824,           0.0042333,           0.0019217,            0.009109,            0.009109,            0.009109
                  11,            0.028506,           0.0099712,           0.0020568,             0.95976,             0.97438,             0.99252,             0.72495,            0.018096,           0.0041203,           0.0018115,             0.00901,             0.00901,             0.00901
                  12,            0.027573,           0.0096797,           0.0019043,             0.92977,             0.98609,             0.97431,             0.72486,            0.018176,           0.0041798,           0.0016248,            0.008911,            0.008911,            0.008911
                  13,            0.027554,            0.009543,           0.0017548,             0.91631,             0.94482,             0.97062,             0.72575,            0.018282,           0.0040436,           0.0016005,            0.008812,            0.008812,            0.008812
                  14,            0.026357,           0.0094387,           0.0015703,             0.96021,             0.96237,              0.9892,             0.75735,            0.017933,           0.0041437,           0.0017262,            0.008713,            0.008713,            0.008713
                  15,            0.026502,           0.0094722,           0.0016572,              0.9365,             0.96782,             0.97943,             0.73784,            0.017299,           0.0041051,            0.001574,            0.008614,            0.008614,            0.008614
                  16,            0.026157,           0.0094117,           0.0016158,             0.96484,             0.97089,             0.99098,              0.7804,            0.016978,           0.0040381,           0.0015357,            0.008515,            0.008515,            0.008515
                  17,             0.02541,           0.0091444,           0.0013573,             0.96664,             0.98768,             0.99175,             0.77434,            0.015932,           0.0038303,           0.0014841,            0.008416,            0.008416,            0.008416
                  18,            0.025345,           0.0091256,           0.0015614,             0.95997,             0.95215,             0.97543,             0.76921,            0.016157,           0.0038331,           0.0014656,            0.008317,            0.008317,            0.008317
                  19,            0.025024,           0.0090157,           0.0014532,             0.97007,             0.97687,             0.99115,             0.75167,            0.016181,           0.0037913,           0.0015445,            0.008218,            0.008218,            0.008218
                  20,             0.02453,           0.0089669,           0.0013257,             0.96416,             0.96038,             0.97582,             0.75797,            0.016094,           0.0041496,           0.0014695,            0.008119,            0.008119,            0.008119
                  21,            0.024886,           0.0090522,           0.0014996,             0.98565,             0.98646,             0.99201,             0.76942,            0.016113,           0.0037736,           0.0015753,             0.00802,             0.00802,             0.00802
                  22,            0.024075,           0.0089055,            0.001175,             0.97856,             0.98724,             0.99371,             0.77761,            0.015225,           0.0037188,           0.0014518,            0.007921,            0.007921,            0.007921
                  23,            0.023732,           0.0088628,           0.0011446,             0.96841,             0.98163,             0.99208,             0.79239,            0.015338,           0.0037553,           0.0014556,            0.007822,            0.007822,            0.007822
                  24,            0.023466,            0.008894,           0.0011295,             0.98195,             0.97222,             0.98996,             0.78629,            0.015055,           0.0036236,           0.0014493,            0.007723,            0.007723,            0.007723
                  25,            0.023065,           0.0086461,           0.0010934,             0.97373,             0.99417,             0.99295,             0.80235,            0.015505,           0.0036425,           0.0014724,            0.007624,            0.007624,            0.007624
                  26,            0.023236,           0.0087705,           0.0010762,              0.9829,             0.98965,             0.99373,             0.81719,            0.015681,           0.0036324,           0.0014403,            0.007525,            0.007525,            0.007525
                  27,               0.023,           0.0087582,           0.0010936,             0.97822,             0.98826,             0.99209,             0.77182,             0.01585,           0.0037575,           0.0013774,            0.007426,            0.007426,            0.007426
                  28,            0.022844,           0.0088959,           0.0010175,              0.9762,             0.99495,             0.99308,             0.78711,            0.015494,             0.00364,           0.0014059,            0.007327,            0.007327,            0.007327
                  29,            0.022495,           0.0084133,           0.0010384,             0.96086,              0.9948,             0.99309,             0.83084,             0.01498,           0.0035805,           0.0013889,            0.007228,            0.007228,            0.007228
                  30,            0.022468,           0.0084792,          0.00091262,             0.96576,             0.98084,             0.99349,             0.80028,            0.014889,           0.0036511,           0.0013689,            0.007129,            0.007129,            0.007129
                  31,            0.022369,           0.0084421,          0.00094151,             0.98736,             0.98498,             0.99341,             0.79837,            0.014741,           0.0036255,           0.0013661,             0.00703,             0.00703,             0.00703
                  32,            0.022062,            0.008353,           0.0010141,             0.98248,             0.98144,             0.99199,             0.81282,            0.014983,           0.0035967,           0.0013692,            0.006931,            0.006931,            0.006931
                  33,            0.022195,           0.0084986,           0.0010757,             0.97575,             0.98887,             0.99364,               0.804,            0.014687,           0.0035492,           0.0014143,            0.006832,            0.006832,            0.006832
                  34,            0.021718,           0.0084184,          0.00081292,             0.98025,             0.98765,             0.99202,             0.79945,            0.014762,           0.0035741,           0.0013434,            0.006733,            0.006733,            0.006733
                  35,             0.02172,           0.0082496,          0.00087685,             0.99117,              0.9947,              0.9934,             0.81446,            0.014591,           0.0035818,           0.0013081,            0.006634,            0.006634,            0.006634
                  36,            0.021594,           0.0081908,          0.00083551,             0.96876,             0.99275,             0.99129,             0.82611,            0.014492,           0.0035788,           0.0013127,            0.006535,            0.006535,            0.006535
                  37,            0.021589,            0.008195,          0.00098046,             0.98735,             0.98496,             0.99263,             0.83173,            0.014421,           0.0035439,           0.0013122,            0.006436,            0.006436,            0.006436
                  38,            0.021709,             0.00807,          0.00099883,             0.98775,              0.9962,             0.99351,             0.81759,            0.014591,           0.0034955,           0.0012545,            0.006337,            0.006337,            0.006337
                  39,             0.02135,           0.0080839,          0.00090967,             0.98516,              0.9962,             0.99283,              0.8088,            0.014301,           0.0034764,           0.0012745,            0.006238,            0.006238,            0.006238
                  40,            0.021216,           0.0081826,          0.00093215,             0.97213,              0.9944,             0.99267,             0.83476,            0.014193,           0.0034801,           0.0013562,            0.006139,            0.006139,            0.006139
                  41,            0.021149,           0.0080377,          0.00077324,             0.98533,             0.99096,             0.99394,             0.80192,            0.014248,           0.0034703,           0.0012572,             0.00604,             0.00604,             0.00604
                  42,            0.020877,           0.0080995,           0.0007505,             0.97906,              0.9962,             0.99274,             0.82507,            0.014235,           0.0034642,           0.0012563,            0.005941,            0.005941,            0.005941
                  43,            0.020547,           0.0080433,           0.0007645,             0.97988,              0.9962,             0.99334,             0.81968,            0.014455,           0.0034592,           0.0012233,            0.005842,            0.005842,            0.005842
                  44,            0.020364,           0.0079535,          0.00079268,             0.98169,              0.9962,             0.99309,             0.84889,            0.013916,           0.0034489,           0.0012451,            0.005743,            0.005743,            0.005743
                  45,            0.020296,           0.0079036,          0.00068725,             0.97165,              0.9962,             0.99265,             0.83811,            0.014054,            0.003442,           0.0012548,            0.005644,            0.005644,            0.005644
                  46,            0.020562,           0.0079404,           0.0007961,             0.98338,              0.9962,             0.99376,             0.80838,            0.014174,             0.00339,           0.0012275,            0.005545,            0.005545,            0.005545
                  47,            0.020239,           0.0080379,          0.00071084,             0.98745,             0.99524,             0.99281,             0.83297,            0.014197,           0.0033715,           0.0012144,            0.005446,            0.005446,            0.005446
                  48,            0.019985,           0.0079445,          0.00070999,             0.98577,              0.9962,              0.9937,             0.84017,            0.013969,           0.0033437,           0.0012731,            0.005347,            0.005347,            0.005347
                  49,            0.020135,           0.0080123,          0.00066566,             0.98207,              0.9962,             0.99299,             0.84121,            0.013631,           0.0033568,           0.0012066,            0.005248,            0.005248,            0.005248
                  50,            0.019895,           0.0078818,          0.00069107,             0.98702,              0.9962,             0.99297,             0.83033,            0.013918,           0.0033353,           0.0012182,            0.005149,            0.005149,            0.005149
                  51,            0.019705,           0.0078483,          0.00060601,             0.98016,              0.9962,             0.99311,             0.84709,            0.013678,           0.0033594,           0.0011751,             0.00505,             0.00505,             0.00505
                  52,            0.019765,           0.0078031,           0.0006421,             0.98732,              0.9962,             0.99294,             0.83018,            0.013671,           0.0033708,           0.0011709,            0.004951,            0.004951,            0.004951
                  53,             0.01976,           0.0079428,          0.00086094,             0.98721,              0.9948,             0.99364,             0.86038,            0.013547,            0.003357,           0.0011864,            0.004852,            0.004852,            0.004852
                  54,            0.019752,           0.0078059,          0.00073989,              0.9828,              0.9962,             0.99335,              0.8379,            0.013776,           0.0033452,           0.0011874,            0.004753,            0.004753,            0.004753
                  55,            0.019614,           0.0076314,          0.00068281,             0.98499,             0.99604,             0.99327,             0.85251,            0.013451,           0.0033187,           0.0011965,            0.004654,            0.004654,            0.004654
                  56,            0.019419,           0.0076251,           0.0006786,             0.98677,              0.9962,             0.99328,             0.85336,            0.013607,           0.0033764,           0.0011556,            0.004555,            0.004555,            0.004555
                  57,            0.018924,           0.0077623,          0.00061754,             0.99006,             0.99528,             0.99313,             0.85317,            0.013573,           0.0033312,            0.001157,            0.004456,            0.004456,            0.004456
                  58,            0.019349,           0.0075674,          0.00059015,             0.99069,             0.99355,             0.99285,             0.84402,            0.013562,           0.0033346,           0.0011596,            0.004357,            0.004357,            0.004357
                  59,            0.019022,           0.0076481,          0.00058937,             0.98309,             0.99531,             0.99336,             0.85482,            0.013428,           0.0033473,            0.001141,            0.004258,            0.004258,            0.004258
                  60,            0.018624,           0.0075222,          0.00052603,             0.98653,              0.9962,             0.99299,             0.85391,            0.013331,           0.0033087,           0.0011545,            0.004159,            0.004159,            0.004159
                  61,            0.019048,           0.0076133,          0.00069035,             0.98658,              0.9962,             0.99319,             0.85278,            0.013414,           0.0032676,           0.0011222,             0.00406,             0.00406,             0.00406
                  62,            0.018797,           0.0075455,          0.00055918,             0.98365,             0.98686,             0.99275,             0.84981,            0.013489,           0.0032524,           0.0011696,            0.003961,            0.003961,            0.003961
                  63,            0.019014,           0.0076544,          0.00055319,             0.98828,              0.9962,             0.99301,             0.86046,            0.013335,           0.0032688,           0.0011367,            0.003862,            0.003862,            0.003862
                  64,            0.018701,           0.0076497,          0.00058633,             0.98478,              0.9962,             0.99224,             0.85365,            0.013473,            0.003277,           0.0011552,            0.003763,            0.003763,            0.003763
                  65,            0.018226,           0.0074195,          0.00041879,             0.98847,              0.9962,             0.99311,             0.85893,            0.013438,           0.0032904,           0.0011696,            0.003664,            0.003664,            0.003664
                  66,            0.018274,           0.0074061,          0.00049282,             0.98779,             0.99146,             0.99289,             0.85826,            0.013253,           0.0032493,           0.0011139,            0.003565,            0.003565,            0.003565
                  67,            0.018124,            0.007367,          0.00043782,             0.99234,             0.99387,             0.99309,             0.86365,            0.013473,           0.0032735,            0.001129,            0.003466,            0.003466,            0.003466
                  68,            0.018435,           0.0072983,          0.00058686,             0.98842,              0.9962,             0.99268,             0.86303,             0.01343,           0.0032648,           0.0011434,            0.003367,            0.003367,            0.003367
                  69,            0.018308,           0.0074988,          0.00060074,             0.99113,              0.9962,             0.99303,             0.86104,            0.013417,           0.0032834,           0.0011716,            0.003268,            0.003268,            0.003268
                  70,              0.0179,           0.0075695,          0.00047866,             0.99032,              0.9962,             0.99305,             0.86072,            0.013463,           0.0032309,           0.0011629,            0.003169,            0.003169,            0.003169
                  71,            0.018113,           0.0074216,          0.00047572,             0.99245,              0.9962,             0.99302,             0.87709,            0.013168,           0.0032705,           0.0011758,             0.00307,             0.00307,             0.00307
                  72,            0.017881,           0.0073928,          0.00044408,             0.98971,              0.9962,             0.99329,             0.85775,            0.013161,           0.0032712,           0.0011691,            0.002971,            0.002971,            0.002971
                  73,            0.017866,           0.0073092,           0.0004777,             0.98859,              0.9962,             0.99303,             0.86858,            0.013022,           0.0032091,           0.0011358,            0.002872,            0.002872,            0.002872
                  74,            0.017439,           0.0072423,          0.00048282,             0.98646,              0.9962,             0.99302,             0.87392,            0.013061,           0.0032199,             0.00113,            0.002773,            0.002773,            0.002773
                  75,            0.017618,           0.0070987,          0.00049553,             0.98993,              0.9962,             0.99283,             0.87811,            0.013061,            0.003224,           0.0011135,            0.002674,            0.002674,            0.002674
                  76,             0.01745,           0.0072512,           0.0004487,             0.99071,              0.9962,             0.99273,             0.87583,             0.01301,            0.003208,            0.001138,            0.002575,            0.002575,            0.002575
                  77,            0.017305,           0.0071653,          0.00042114,             0.99332,             0.99601,             0.99331,             0.88138,            0.013082,           0.0032405,            0.001133,            0.002476,            0.002476,            0.002476
                  78,            0.017257,           0.0071673,          0.00040794,             0.98766,              0.9962,              0.9929,             0.87924,            0.012992,           0.0032084,           0.0011468,            0.002377,            0.002377,            0.002377
